"phenotype","risk_score","t","p","adj.r","t_w_prs","p_w_prs","adj.r_prs","anova_p","AIC","AIC_w_prs","prs_ad_t","prs_ad_p","fdr_RS_p","fdr_RS_wprs_p","fdr_prs_ad_p","bonferroni_RS_p","bonferroni_RS_wprs_p","bonferroni_prs_ad_p"
"cvda_4gp2","pTS (binarized)","-5.71E-01","5.68E-01",NA,"-8.55E-01","3.93E-01",NA,NA,"2.47E+03","2.46E+03",NA,NA,"7.20E-01","6.28E-01"," NA","1.00E+00","1.00E+00"," NA"
"cogn_global","pLI (DEL)","-4.79E-01","6.32E-01","4.61E-02","5.51E-01","5.82E-01","3.24E-01","1.29E-76","3.18E+03","2.84E+03","-2.03E+01","1.29E-76","7.44E-01","7.20E-01","1.27E-74","1.00E+00","1.00E+00","1.55E-74"
"cogn_global","pLI (DUP)","-1.27E+00","2.03E-01",NA,"-7.24E-01","4.69E-01",NA,NA,"3.18E+03","2.84E+03",NA,NA,"3.87E-01","6.78E-01"," NA","1.00E+00","1.00E+00"," NA"
"cogn_global","LOEUF (DEL)","-7.49E-01","4.54E-01","4.84E-02","3.76E-01","7.07E-01","3.25E-01","2.84E-76","3.18E+03","2.83E+03","-2.02E+01","2.84E-76","6.64E-01","7.79E-01","1.27E-74","1.00E+00","1.00E+00","3.41E-74"
"cogn_global","LOEUF (DUP)","-1.95E+00","5.10E-02",NA,"-1.22E+00","2.24E-01",NA,NA,"3.18E+03","2.83E+03",NA,NA,"1.28E-01","4.20E-01"," NA","1.00E+00","1.00E+00"," NA"
"cogn_global","pHI","-4.24E-01","6.72E-01","4.84E-02","5.76E-01","5.65E-01","3.24E-01","4.24E-76","3.18E+03","2.84E+03","-2.02E+01","4.24E-76","7.75E-01","7.20E-01","1.27E-74","1.00E+00","1.00E+00","5.09E-74"
"cogn_global","pTS","-1.99E+00","4.73E-02",NA,"-7.69E-01","4.42E-01",NA,NA,"3.18E+03","2.84E+03",NA,NA,"1.21E-01","6.59E-01"," NA","1.00E+00","1.00E+00"," NA"
"cogn_global","pHI (binarized)","-1.14E-01","9.09E-01","4.87E-02","6.53E-01","5.14E-01","3.24E-01","4.13E-76","3.18E+03","2.83E+03","-2.02E+01","4.13E-76","9.28E-01","6.93E-01","1.27E-74","1.00E+00","1.00E+00","4.96E-74"
"cogn_global","pTS (binarized)","-2.05E+00","4.02E-02",NA,"-9.88E-01","3.24E-01",NA,NA,"3.18E+03","2.83E+03",NA,NA,"1.07E-01","5.48E-01"," NA","1.00E+00","1.00E+00"," NA"
"cogdx","pLI (DEL)","3.99E-01","6.90E-01",NA,"-6.64E-01","5.07E-01",NA,NA,"1.26E+03","9.33E+02","1.42E+01","1.85E-45","7.79E-01","6.93E-01","4.30E-44","1.00E+00","1.00E+00","2.22E-43"
"cogdx","pLI (DUP)","1.40E+00","1.62E-01",NA,"9.75E-01","3.29E-01",NA,NA,"1.26E+03","9.33E+02",NA,NA,"3.19E-01","5.48E-01"," NA","1.00E+00","1.00E+00"," NA"
"cogdx","LOEUF (DEL)","6.23E-01","5.33E-01",NA,"-5.37E-01","5.91E-01",NA,NA,"1.26E+03","9.32E+02","1.41E+01","2.15E-45","7.11E-01","7.24E-01","4.30E-44","1.00E+00","1.00E+00","2.58E-43"
"cogdx","LOEUF (DUP)","1.80E+00","7.20E-02",NA,"1.16E+00","2.48E-01",NA,NA,"1.26E+03","9.32E+02",NA,NA,"1.57E-01","4.51E-01"," NA","1.00E+00","1.00E+00"," NA"
"cogdx","pHI","2.81E-01","7.78E-01",NA,"-7.03E-01","4.82E-01",NA,NA,"1.25E+03","9.33E+02","1.41E+01","2.93E-45","8.44E-01","6.80E-01","5.02E-44","1.00E+00","1.00E+00","3.52E-43"
"cogdx","pTS","2.10E+00","3.57E-02",NA,"8.44E-01","3.98E-01",NA,NA,"1.25E+03","9.33E+02",NA,NA,"9.74E-02","6.28E-01"," NA","1.00E+00","1.00E+00"," NA"
"cogdx","pHI (binarized)","1.10E-01","9.13E-01",NA,"-5.09E-01","6.11E-01",NA,NA,"1.25E+03","9.33E+02","1.41E+01","3.46E-45","9.28E-01","7.26E-01","5.19E-44","1.00E+00","1.00E+00","4.15E-43"
"cogdx","pTS (binarized)","2.11E+00","3.51E-02",NA,"7.80E-01","4.35E-01",NA,NA,"1.25E+03","9.33E+02",NA,NA,"9.74E-02","6.59E-01"," NA","1.00E+00","1.00E+00"," NA"
